"video_id","title","views","likes","upload_date","duration"
"d_Ftrl3vfV0","Your AI Product Will Fail Unless You Can Explain It - Veronica Hylak, Hey AI","3642","204","2026-07-05","6:01"
"hVJOnuhFmTA","The Prompt Is Still a Punch Card - Ted Johnson, JoinIn AI","2776","53","2026-07-02","20:13"
"UNzCG3lw6O0","Building Great Agent Skills: The Missing Manual","109658","3690","2026-06-29","20:43"
"fWXJM-J0ZB8","Frontier results, on device - RL Nabors, Arize","4189","106","2026-06-29","30:51"
"spNAUEgq_A8","The Future Is Domain-Specific Agents - Justin Schroeder, StandardAgents","36280","1107","2026-06-29","30:38"
"6bmM45jkMDY","You Can't Prompt the Room: The Last Skill AI Won't Replace - Balázs Horváth, VisualLabs","1631","28","2026-06-29","15:45"
"APh1Vx0oLmQ","Deterministic Infra for Non-Deterministic AI Agents - Nishant Gupta, Meta Superintelligence Labs","3427","71","2026-06-29","7:13"
"pSto5YaNGUo","The Agentic AI Engineer - Benedikt Sanftl, Mutagent","4818","72","2026-06-29","34:49"
"DqtmZE6Hl0g","The Prompt is the Platform - Dominik Tornow, Resonate HQ","1589","42","2026-06-29","17:33"
"LrGCT7G_rU8","Using RL Agent to Detect and Remediate ETL Pipeline Failures - Anna Marie Benzon","1604","24","2026-06-29","14:40"
"Lc8zRh9muoY","Your Agent Failed in Prod. Good Luck Reproducing It. - Tisha Chawla & Susheem Koul, Microsoft","1881","36","2026-06-29","14:09"
"65X0pQ6Lmbg","Voice In, Visuals Out: The Agony and the Ecstasy - Allen Pike, Forestwalk Labs","1346","23","2026-06-28","13:05"
"Iwe_RY-fYgI","AI-Driven Multi-Document Correlation for Financial Compliance - Varsha Shah, Independent","1181","21","2026-06-28","19:00"
"dRmWYHuIJxM","We Cut 94% of AI Coding Tokens With a Local Code Index - Rajkumar Sakthivel, Tesco","18639","498","2026-06-28","10:42"
"uiP88SpCi1Q","Your Agent Is Wasting Tokens and You Don't Know It - Erik Hanchett, AWS","1718","37","2026-06-28","5:55"
"akk6KRlcwW4","OpenClaw in Your Hand: Building a Physical AI Terminal - Lech Kalinowski, Callstack","1196","20","2026-06-28","24:35"
"Akm1sqvWG4A","Bypassing the Multimodal Tax: Hybrid RAG, SQL RRF & UI Telemetry - Abed Matini, Ogilvy","836","13","2026-06-28","45:47"
"T0HhO4YtTfE","AI System Design: From Idea to Production - Apoorva Joshi, MongoDB","5926","163","2026-06-28","28:52"
"XovaGv4f39A","When All Context Matters: Extended Cache Augmented Generation - Luis Romero-Sevilla, Orbis","891","23","2026-06-28","5:52"
"OXMMN-XbxwA","Research to Reality: Bringing Frontier ML Research to Production - Vaidas Razgaitis, Higharc","831","19","2026-06-28","14:57"
"whue9_YquGA","Building an Autonomous Engineering Org - Angie Jones, Agentic AI Foundation","5402","211","2026-06-28","17:36"
"JRTAtZ5iBkU","HTML is All You Need (for Agents to Make Graphics) - Amol Kapoor, Nori","13679","434","2026-06-28","7:00"
"IddXPepIAS4","Using Spec-Driven Development for Production Workflows - Erik Hanchett, AWS","6267","140","2026-06-28","17:47"
"Jx4ZFEAq6bY","User Signal Dies at the Retrieval Boundary - Sonam Pankaj, StarlightSearch","921","13","2026-06-28","15:37"
"-x5GEVnkuRw","Structuring the Unstructured - Cedric Clyburn, Red Hat","2223","77","2026-06-28","20:40"
"aHhB3sjGjkI","Agents Building Agents - Alfonso Graziano, Nearform","4152","123","2026-06-28","30:14"
"JnubYCYunk8","Browser Agents Don't Need Better Models. They Need Better Eyes. - Kushan Raj, ARK","1572","47","2026-06-28","4:25"
"vh2VGuQ3zhY","The 100-Tool Agent Is a Trap - Sohail Shaikh & Ankush Rastogi, Prosodica","1221","32","2026-06-28","28:27"
"ij-AU9dpJjc","Stop Writing Tone Instructions. Layer Them. - Isadora Martin-Dye, Isadora & Co","2730","59","2026-06-26","20:56"
"ZRM_TfEZcIo","Turn 10,994 Notes Into Memory - Paul Iusztin, Decoding AI & Louis-François Bouchard, Towards AI","17156","395","2026-06-26","39:32"
"4uFVSLgD2Q4","Agents in Production: How OpenGov Built and Scaled OG Assist - Gabe De Mesa, OpenGov","2119","61","2026-06-26","18:29"
"jVjt-2g8NMY","A Genius With Amnesia - Victor Savkin, Nx","2053","38","2026-06-26","19:59"
"UPwGaM2MKHY","The Log Is The Agent - Ishaan Sehgal, Omnara","4506","95","2026-06-25","15:11"
"3hXJI2q0Jz8","Recursive Coding Agents - Raymond Weitekamp, OpenProse","9459","243","2026-06-25","23:48"
"vljxQZfJ9wY","Production Evals For Agentic AI Systems - Nishant Gupta, Meta Superintelligence Labs","1695","56","2026-06-25","8:12"
"ZD9-4fW2HhM","Build Systems, Not Code - Angie Jones, Agentic AI Foundation","7483","312","2026-06-25","19:38"
"IJXjTLPzvAU","The Miranda Hypothesis: How Hamilton Poisoned Persona Evals - Jacob E. Thomas, Results Gen","1197","20","2026-06-25","58:17"
"0S8xe9ftGTM","6 Things to Know about AIE World's Fair 2026","6474","91","2026-06-21","17:50"
